Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 11,O=C(O[C@@H]1C[C@@](O)(C[C@H]([C@H]1O)O)C(=O)O)/C=C/c1ccc(c(c1)O)O,C16H18O9,354.31,25,6,0.38,5,9,6,83.50,164.75,0.87,-0.42,-0.75,-1.05,-0.61,-0.39,-1.62,8.50e+00,2.40e-02,Very soluble,-2.58,9.42e-01,2.66e-03,Soluble,0.40,8.94e+02,2.52e+00,Soluble,Low,No,No,No,No,No,No,No,-8.76,1,1,1,1,2,0.11,1,2,1,4.16
Molecule 12,O=C1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@H]([C@H]1C)CC[C@H]4C)OO3,C15H22O5,282.33,20,0,0.93,0,5,0,70.38,53.99,2.72,2.90,2.39,2.62,1.82,2.49,-3.42,1.08e-01,3.82e-04,Soluble,-3.69,5.71e-02,2.02e-04,Soluble,-2.03,2.61e+00,9.25e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.96,0,0,0,0,0,0.55,0,1,0,6.13
Molecule 13,OC(=O)CCC(=O)O[C@@H]1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@]2([C@H]([C@H]1C)CC[C@H]4C)OO3,C19H28O8,384.42,27,0,0.89,5,8,1,92.46,100.52,2.92,1.88,2.60,1.88,1.37,2.13,-3.08,3.21e-01,8.36e-04,Soluble,-3.61,9.37e-02,2.44e-04,Soluble,-1.73,7.22e+00,1.88e-02,Soluble,High,No,No,No,No,No,No,No,-7.31,0,0,0,0,0,0.56,0,1,1,6.67
Molecule 14,CC12CCC(CC1)C(O2)(C)C,C10H18O,154.25,11,0,1.00,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.86,2.67,-2.52,4.63e-01,3.00e-03,Soluble,-2.59,3.98e-01,2.58e-03,Soluble,-2.45,5.45e-01,3.53e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.30,0,1,0,0,2,0.55,0,0,1,3.65
Molecule 15,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,C15H10O4,254.24,19,12,0.07,0,4,2,68.76,74.60,2.22,3.53,2.18,0.92,3.04,2.38,-4.11,1.98e-02,7.81e-05,Moderately soluble,-4.78,4.21e-03,1.66e-05,Moderately soluble,-4.49,8.32e-03,3.27e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,Yes,-5.34,0,0,0,0,0,0.55,1,0,1,2.47
Molecule 16,Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1)O,C15H10O5,270.24,20,12,0.07,0,5,3,70.78,94.83,1.80,2.72,1.89,0.36,2.55,1.87,-3.67,5.74e-02,2.12e-04,Soluble,-4.37,1.17e-02,4.31e-05,Moderately soluble,-3.91,3.36e-02,1.24e-04,Soluble,High,No,No,Yes,No,No,No,Yes,-6.02,0,0,0,0,0,0.55,1,0,0,2.57
Molecule 17,C[C@@H]1CC[C@]2([C@@H]([C@H]1C)C1=CC[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C(=O)O,C30H48O3,456.70,33,0,0.90,1,3,2,136.91,57.53,3.95,7.34,7.09,5.82,5.46,5.93,-7.23,2.69e-05,5.89e-08,Poorly soluble,-8.38,1.92e-06,4.21e-09,Poorly soluble,-5.67,9.72e-04,2.13e-06,Moderately soluble,Low,No,No,No,No,No,No,No,-3.87,1,3,0,1,1,0.85,0,1,2,6.21
Molecule 18,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H50O,414.71,30,0,0.93,6,1,1,133.23,20.23,5.05,9.34,8.02,6.73,7.04,7.24,-7.90,5.23e-06,1.26e-08,Poorly soluble,-9.67,8.90e-08,2.15e-10,Poorly soluble,-6.19,2.69e-04,6.49e-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.20,1,3,0,1,2,0.55,0,1,2,6.30
Molecule 19,OC(=O)c1cc(O)c(c(c1)O)O,C7H6O5,170.12,12,6,0.00,1,5,4,39.47,97.99,0.21,0.70,0.50,-0.16,-0.20,0.21,-1.64,3.90e+00,2.29e-02,Very soluble,-2.34,7.86e-01,4.62e-03,Soluble,-0.04,1.55e+02,9.10e-01,Soluble,High,No,No,No,No,No,No,Yes,-6.84,0,2,0,0,1,0.56,1,1,1,1.22
Molecule 20,OC(=O)/C=C/c1ccc(c(c1)O)O,C9H8O4,180.16,13,6,0.00,2,4,3,47.16,77.76,0.97,1.15,1.09,0.70,0.75,0.93,-1.89,2.32e+00,1.29e-02,Very soluble,-2.38,7.55e-01,4.19e-03,Soluble,-0.71,3.51e+01,1.95e-01,Soluble,High,No,No,No,No,No,No,No,-6.58,0,0,0,0,1,0.56,1,2,1,1.81
Molecule 21,CC1=CCC2CC1C2(C)C,C10H16,136.23,10,0,0.80,0,0,0,45.22,0.00,2.63,4.48,3.00,4.29,2.79,3.44,-3.51,4.24e-02,3.11e-04,Soluble,-4.20,8.59e-03,6.31e-05,Moderately soluble,-2.23,8.06e-01,5.92e-03,Soluble,Low,Yes,No,No,No,Yes,No,No,-3.95,1,1,0,0,2,0.55,0,1,2,4.44
Molecule 22,S=C=NCc1ccccc1,C8H7NS,149.21,10,6,0.12,2,1,0,45.38,44.45,2.19,3.16,2.14,3.28,3.79,2.91,-3.07,1.28e-01,8.55e-04,Soluble,-3.76,2.57e-02,1.72e-04,Soluble,-2.98,1.57e-01,1.05e-03,Soluble,High,Yes,No,No,No,No,No,No,-4.97,0,2,0,0,1,0.55,0,2,1,1.59
